Design, HBM Timing, Kernel Timing, LUT, FF, BRAM, URAM, DSP
, , HMSS, 7088.0 (0.54%), 15885.0 (0.61%), 2.0 (0.10%), 0.0 (0.00%), 0.0 (0.00%)
, , Static Region, 93280.0 (7.16%), 128746.0 (4.94%), 200.0 (9.92%), 0.0 (0.00%), 4.0 (0.04%)
, , Others, 1969.0 (0.15%), 4651.0 (0.18%), 0.5 (0.02%), 0.0 (0.00%), 0.0 (0.00%)
one2all_1t16c, 450.0 MHz, 300.0 MHz, , , , , 
, Total, ,113079.0 (8.68%), 167671.0 (6.44%), 217.5 (10.79%), 8.0 (0.83%), 4.0 (0.04%)
, Breakdown, , , , , , 
, , TGs, 10754.0 (0.83%), 18389.0 (0.71%), 15.0 (0.74%), 8.0 (0.83%), 0.0 (0.00%)
, , HMSS, 7081.0 (0.54%), 15885.0 (0.61%), 2.0 (0.10%), 0.0 (0.00%), 0.0 (0.00%)
, , Static Region, 93280.0 (7.16%), 128746.0 (4.94%), 200.0 (9.92%), 0.0 (0.00%), 4.0 (0.04%)
, , Others, 1964.0 (0.15%), 4651.0 (0.18%), 0.5 (0.02%), 0.0 (0.00%), 0.0 (0.00%)
one2all_1t32c, 450.0 MHz, 300.0 MHz, , , , , 
, Total, ,113638.0 (8.72%), 168111.0 (6.45%), 219.5 (10.89%), 8.0 (0.83%), 4.0 (0.04%)
, Breakdown, , , , , , 
, , TGs, 10758.0 (0.83%), 18393.0 (0.71%), 15.0 (0.74%), 8.0 (0.83%), 0.0 (0.00%)
, , HMSS, 7635.0 (0.59%), 16299.0 (0.63%), 4.0 (0.20%), 0.0 (0.00%), 0.0 (0.00%)
, , Static Region, 93280.0 (7.16%), 128746.0 (4.94%), 200.0 (9.92%), 0.0 (0.00%), 4.0 (0.04%)
, , Others, 1965.0 (0.15%), 4673.0 (0.18%), 0.5 (0.02%), 0.0 (0.00%), 0.0 (0.00%)
